地域,マッチアップ,,年,月,日,シーズン,マップ,勝敗,方法,勝ち側,配信リンク,配信内時間,備考,エラー
EU,JOKES,赤BPS,2022,11,22,,Alpen,赤BPS,殲滅,南,https://youtu.be/YVfCwRAyG5g?t=4879,1:21:19,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14 ",
EU,JOKES,赤BPS,2022,11,22,,Alpen,赤BPS,殲滅,北,https://youtu.be/YVfCwRAyG5g?t=5238,1:27:18,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
APAC,ID,P1,2022,11,29,,BGV,P1,ポイント,北,https://youtu.be/u4wta3StP7U?t=5121,1:25:21,BLITZ ULTIMATE CUP | Autumn Season 22 (1/2),
APAC,ID,P1,2022,11,29,,BGV,P1,ポイント,北,https://youtu.be/u4wta3StP7U?t=5533,1:32:13,BLITZ ULTIMATE CUP | Autumn Season 22 (1/2),
APAC,RISQ,P1,2022,11,30,,BGV,RISQ,ポイント,南,https://youtu.be/pM85HDZjoQ8?t=3294,54:54:00,Blitz Ultimate Cup 2022. APAC Lower FINAL,
APAC,RISQ,RN,2022,11,30,,BGV,RN,ポイント,南,https://youtu.be/pM85HDZjoQ8?t=5825,1:37:05,Blitz Ultimate Cup 2022. APAC FINAL,
APAC,ID,P1,2022,11,29,,BGV,P1,ポイント,北,https://youtu.be/KGGJ1TPFsJI?t=6399,1:46:39,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
APAC,ID,P1,2022,11,29,,BGV,P1,ポイント,南,https://youtu.be/KGGJ1TPFsJI?t=6787,1:53:05,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
NA,JOKERS,ORIGIN,2022,11,28,,Canal,ORIGIN,ポイント,北,https://youtu.be/lLC-k_m56NE?t=6613,1:50:13,Blitz Ultimate Cup 2022. NA  FINAL,
NA,PONDA,ORIGIN,2022,11,28,,Canal,PONDA,殲滅,北,https://youtu.be/lLC-k_m56NE?t=1154,19:14,Blitz Ultimate Cup 2022. NA Lower FINAL,
APAC,ID,RN,2022,11,29,,Canal,RN,ポイント,北,https://youtu.be/KGGJ1TPFsJI?t=2870,47:50:00,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
APAC,ID,RN,2022,11,29,,Canal,ID,ポイント,北,https://youtu.be/KGGJ1TPFsJI?t=3345,55:45:00,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
APAC,RISQ,P1,2022,11,29,,Canal,RISQ,殲滅,北,https://youtu.be/u4wta3StP7U?t=1727,28:47:00,BLITZ ULTIMATE CUP | Autumn Season 22 (1/2),
APAC,RISQ,P1,2022,11,29,,Canal,RISQ,殲滅,南,https://youtu.be/u4wta3StP7U?t=2122,35:22:00,BLITZ ULTIMATE CUP | Autumn Season 22 (1/2),
EU,赤BPS,PINK,2022,11,22,,Canal,PINK,殲滅,北,https://youtu.be/YVfCwRAyG5g?t=1027,17:07,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
EU,赤BPS,PINK,2022,11,22,,Canal,PINK,ポイント,南,https://youtu.be/YVfCwRAyG5g?t=1434,23:54,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
NA,JOKERS,ORIGIN,2022,11,28,,Castilla,JOKERS,ポイント,南,https://youtu.be/lLC-k_m56NE?t=7801,2:10:01,Blitz Ultimate Cup 2022. NA  FINAL,
NA,PONDA,ORIGIN,2022,11,28,,Desert Sands,ORIGIN,殲滅,南,https://youtu.be/lLC-k_m56NE?t=2379,39:39:00,Blitz Ultimate Cup 2022. NA Lower FINAL,
APAC,RISQ,RN,2022,11,29,,Desert Sands,RN,殲滅,北,https://youtu.be/u4wta3StP7U?t=9318,2:35:18,BLITZ ULTIMATE CUP | Autumn Season 22 (1/2),
